# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
10	0.000000	0.000000
11	0.000000	0.000000
12	0.000000	0.000000
13	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
16	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
19	0.000000	0.000000
20	0.000000	0.000000
21	0.000000	0.000000
22	0.000000	0.000000
23	0.000000	0.000000
24	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
27	0.000000	0.000000
28	0.000000	0.000000
29	0.000000	0.000000
30	0.000000	0.000000
31	0.000000	0.000000
32	0.000000	0.000000
33	0.000000	0.000000
34	0.000000	0.000000
35	0.000000	0.000000
36	0.000000	0.000000
37	0.000000	0.000000
40	0.000000	0.000000
41	0.000000	0.000000
43	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
47	0.000000	0.000000
51	0.000000	0.000000
53	0.000000	0.000000
54	0.000000	0.000000
56	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
64	0.000000	0.000000
66	0.000000	0.000000
70	0.000000	0.000000
74	0.000000	0.000000
76	0.000000	0.000000
82	0.000000	0.000000
85	0.000000	0.000000
86	0.000000	0.000000
97	0.000000	0.000000
100	0.000000	0.000000
106	0.000000	0.000000
112	0.000000	0.000000
119	0.000000	0.000000
140	0.000000	0.000000
155	0.000000	0.000000
170	0.000000	0.000000
234	0.000000	0.000000
