# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
998	36	8.000000
973	41	4.000000
870	46	4.000000
775	51	4.000000
482	71	4.000000
325	76	4.000000
216	81	4.000000
99	89	0.500000
