"ID","Day","Mo","Year","Geocluster","Apis_mellifera","Varroa_destructor","ABPV","AM","AR","BQCV","CBPV","DWV","DWV_C","IAPV","KBV","LSV","SBPV","SV","VDV1","VDV2","VDV3","VO1","VTV","B_apis","B_asteroides","F_perrara","G_apicola","L_apis","L_helsingborgensis","L_kullabergensis","L_kunkeei","L_melliventris","Melissococcus_plutonius","Paenibacillus_larvae","S_alvi","Ascosphaera_apis","Aspergillus_flavus","Aspergillus_fumigatus","Aspergillus_niger","Nosema_apis","Nosema_ceranae","Afr.Extent","V.arrival"
"1535",16,1,1991,"TAM",93.313393861181,5.90145895770653,0,1.90963e-07,0,2.30033e-06,0,0,0,0,0,5.67316e-05,0,2.22418e-06,0,0,0,0,0,0.000969263,0.00139593755,0.00112853898,0.3541618988,0.04835430303,0.0086699533,0.00713889463,0.11382017309788,0.00615243919,3.6822e-06,6.42976e-07,0.08508014954,0.0001383423601,0.157681953004,3.544494e-06,3.84330373e-05,2.0117234e-05,0.00031498982,96.0974683985926,0
"1536",16,1,1991,"TAM",92.6492202947438,4.3847321506758,0,7.49095e-08,0,6.74833e-06,0,0.000235791,0,0,0,0.000270512,0,0,0,0,0,0,0,7.644726e-05,0.00700322603,0.111000470235361,2.08632266680741,0.22378239148,0.0789019747688,0.02306384768,0.100351458648521,0.03912604816,2.32106e-05,1.16881e-06,0.16990259839,0.0003306787782,0.125424583048,3.340483e-06,3.3725181e-05,8.181451e-06,0.00019727382,32.5499649210506,0
"1537",16,1,1991,"TAM",84.880024313299,8.11843865270894,0,0,0,4.8593e-06,0,0,0,0,0,7.02092e-05,0,0,0,0,0,0,0,0.000507271,0.04914081659,0.03543493901,4.38999179057,0.4484692045,0.12355185286,0.04494098586,0.05327991296,0.1308579687,4.92694e-05,2.53388e-06,1.23006690868,0.001067676859,0.4934512327872,1.934916e-06,0.0001661215971,0.00044720982,4.1335083e-05,89.1327384367057,0
"1538",16,1,1991,"TAM",88.2896277876495,7.12050041766734,0,4.5156e-07,0,0,0,0,0,0,0,4.37485e-06,0,0,0,0,0,0,0,0.00137925717,0.231712510152,0.0469070589,1.9978108009526,0.42309429751,0.05827118963,0.08131998605,0.0876084063697,0.14382002604,4.68659e-05,6.07567e-06,1.3256533767,0.0002244586814,0.191726459251,3.5080911e-06,8.38364459e-05,1.5745553e-05,0.000226024255,20.0159786228106,0
"1539",16,1,1991,"TAM",91.4265911462482,5.58528482512888,0,0,0,3.01287e-06,0,0,0,0,0,5.2225e-05,0,0,0,0,0,0,0,0.02016021659,0.00532637755,0.00313237141,1.99076268594,0.17448086509,0.00592509554,0.0150560043,0.041122882723593,0.0101151934,2.27598e-05,6.72009e-06,0.599057925580868,0.0003016215044,0.1209595124,3.7331095e-06,4.4818307e-05,7.745907e-06,0.001621032352,98.3825202621659,0
"1540",16,1,1991,"TAM",92.2106901592102,5.80610601102963,0,2.79205e-07,0,0,0,0,0,0,0,7.30404e-06,0,0,0,0,0,0,0,0.03009818585,0.153267194334,0.00050168793,0.4606223192,0.24397811271,0.0476316283308661,0.11925478916,0.0566842246,0.0577717071315,3.2001e-05,5.21593e-06,0.70109146654,0.000206526836,0.111701169633,2.561596e-06,3.21794293e-05,2.685821e-05,0.000305947313,32.6469051793723,0
"1543",17,1,1991,"TAM",58.6714335442771,4.37389064303412,0,2.85365e-08,0,0,0,0,0,0,0,4.96358e-05,0,0,0,0,0,0,0,0.0010180375,0.4177054287,0.177587923012125,26.0810654382,1.33009139586,1.07618130273,0.30017784472,0.0575773725,0.20442960298891,9.92535e-05,1.56272e-05,7.23614466454,0.0001335934921,0.0718383125332,1.2751811e-06,2.61526527e-05,0.000321755673,0.000234147452,95.8467094708866,0
"1544",16,1,1991,"TAM",82.9959185169912,9.09521396105657,0,2.95526e-08,0,0,0,0,0,0,0,3.35156e-05,0,0,0,0,0,0,0,0.18019758464,0.07376627649,0.01791464531,5.47232424446,0.232774828997,0.052900650167,0.04415352815,0.09904028038,0.08597776421,1.99997e-05,6.86317e-06,1.59362704608,0.0001718913607,0.0556445175163,1.3963569e-06,1.94393452e-05,7.150814e-06,0.000284357605,89.3320667467372,0
"1545",16,1,1991,"TAM",67.1842643048845,2.27928764191993,0,4.71863e-07,0,0,0,1.97891e-06,0,0,0,6.83416e-06,0,2.28165e-06,0,0,0,0,0,0.0027006494,0.78170642703,0.09638073962,23.54335848563,0.77935881717,0.38010316044,1.02219211575,0.1480128387,0.56247735281,0.000202816,5.82994e-05,3.15317038514,0.00017651992583,0.066263182580476,3.5747964e-06,5.15455405e-05,2.1750089e-05,0.000160923206,53.372567869506,0
"1546",16,1,1991,"TAM",70.2633239422009,14.6870918707553,1.08658e-05,3.36213e-08,0,0,0,1.69176e-06,0,0,0,0,0,0,0,0,0,0,0,0.02598212887,0.20707266626,0.00694438219,9.90662738590946,0.60049542545,0.7963801898,0.8532110469,0.1344939667,0.38760266571,0.000137738,1.12101e-05,2.06150265537,0.0001450325464,0.0685554158141,1.1126378e-06,1.23875682e-05,5.488756e-06,0.0003167348,62.860448292376,0
