"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"5354_A","","Unknown",10,4,1992,"BOR","LA JOYA","","TEXAS","USA",26.247017,-98.481409,"SITE: LA JOYA, P,H SAMPLES, EXPOSED COLONY, VERY DEFENSIVE, RESIDUAL INSIDE SAME TRAP(GIVEN SAMPLE # 5355??)","36C, 70% CLOUDS, 10MPH WIND","A.CAVASOS, D.GARCIA","BORDER TRAPLINE",NA,NA
"5354_B","YES","Unknown",10,4,1992,"BOR","LA JOYA","","TEXAS","USA",26.247017,-98.481409,"SITE: LA JOYA, P,H SAMPLES, EXPOSED COLONY, VERY DEFENSIVE, RESIDUAL INSIDE SAME TRAP(GIVEN SAMPLE # 5355??)","36C, 70% CLOUDS, 10MPH WIND","A.CAVASOS, D.GARCIA","BORDER TRAPLINE",NA,NA
"5360_A","YES","YES",13,5,1992,"BOR","OLMITO","","TEXAS","USA",26.021745,-97.534153,"SITE: SAN PEDRO, DRONES AT -80C,P,H, SAMPLES, varroa","29C, 90% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5360_B","","YES",13,5,1992,"BOR","OLMITO","","TEXAS","USA",26.021745,-97.534153,"SITE: SAN PEDRO, DRONES AT -80C,P,H, SAMPLES, varroa","29C, 90% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5361_A","YES","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, DRONES AT -80C, P,H, SAMPLES, varroa, EXPOSED COLONY","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5361_B","","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, DRONES AT -80C, P,H, SAMPLES, varroa, EXPOSED COLONY","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5362_A","","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, DRONES AT -80C, P,H, SAMPLES, varroa","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5362_B","YES","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, DRONES AT -80C, P,H, SAMPLES, varroa","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5363_A","","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, 10 DRONES AT -80C,P,H SAMLPES, 3RD GENERATION EGGS, varroa SEEN IN FIELD, 7 QUEEN CELLS","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS, D.GARCIA, A.S.BENSON","BORDER TRAPLINE",NA,NA
"5363_B","YES","YES",13,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: LAS CURVAS, 10 DRONES AT -80C,P,H SAMLPES, 3RD GENERATION EGGS, varroa SEEN IN FIELD, 7 QUEEN CELLS","33C, 40% CLOUDS, 10MPH WIND","A.CAVASOS, D.GARCIA, A.S.BENSON","BORDER TRAPLINE",NA,NA
"5367_A","","Unknown",14,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: ESCONDIDOS, P,H SAMPLES, QUEEN NOT FOUND IN FIELD","32C, 50% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5367_B","","Unknown",14,5,1992,"BOR","LA PALOMA","","TEXAS","USA",26.048611,-97.666944,"SITE: ESCONDIDOS, P,H SAMPLES, QUEEN NOT FOUND IN FIELD","32C, 50% CLOUDS, 10MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
"5376_Drone","YES","Unknown",15,5,1992,"BOR","PROGRESO","","TEXAS","USA",NA,NA,"SITE: ALLA PROGRESO, 2 ETOH,DRONES AT -80C,P,H SAMPLES","27C, 90% CLOUDS, 5MPH WIND","A.CAVASOS,D.GARCIA,A.S.BENSON","BORDER TRAPLINE",NA,NA
