SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
1862,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.050KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1863,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.800KG, HAY MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1864,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.800KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1865,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.650KG, POCA MIEL Y POLEN, NO ZANG, DOS PANALES CAIDO, BROOD??",DESPEJADO,TRAPLINE
1866,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.00KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1867,,18,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.675KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1868_A,,NA,NA,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,NA,NA,NA,NA,NA
1868_B,,NA,NA,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,NA,NA,NA,NA,NA
1871,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.00KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1872,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.500KG, POCA MIEL Y POLEN, NO ZANG, HAY CELD DE ZANG",DESPEJADO,TRAPLINE
1873,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.800KG, POCA MIEL Y POLEN, NO ZANG, HAY CELD ZANG, 4 COPA CELDAS DE REINA",DESPEJADO,TRAPLINE
1874_A,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,NA,DESPEJADO,TRAPLINE
1874_B,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,NA,DESPEJADO,TRAPLINE
1875,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.450KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1876,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.850KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
