# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
16	0.000000	0.000000
18	0.000000	0.000000
22	0.000000	0.000000
27	0.000000	0.000000
29	0.000000	0.000000
30	0.000000	0.000000
34	0.000000	0.000000
37	0.000000	0.000000
40	0.000000	0.000000
42	0.000000	0.000000
43	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
48	0.000000	0.000000
53	0.000000	0.000000
57	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
61	0.000000	0.000000
62	0.000000	0.000000
63	0.000000	0.000000
64	0.000000	0.000000
65	0.000000	0.000000
67	0.000000	0.000000
73	0.000000	0.000000
75	0.000000	0.000000
79	0.000000	0.000000
84	0.000000	0.000000
88	0.000000	0.000000
91	0.000000	0.000000
93	0.000000	0.000000
96	0.000000	0.000000
98	0.000000	0.000000
99	0.000000	0.000000
101	0.000000	0.000000
103	0.000000	0.000000
107	0.000000	0.000000
108	0.000000	0.000000
110	0.000000	0.000000
112	0.000000	0.000000
114	0.000000	0.000000
119	0.000000	0.000000
120	0.000000	0.000000
124	0.000000	0.000000
125	0.000000	0.000000
126	0.000000	0.000000
130	0.000000	0.000000
134	0.000000	0.000000
135	0.000000	0.000000
136	0.000000	0.000000
137	0.000000	0.000000
139	0.000000	0.000000
140	0.000000	0.000000
144	0.000000	0.000000
148	0.000000	0.000000
150	0.000000	0.000000
153	0.000000	0.000000
156	0.000000	0.000000
158	0.000000	0.000000
162	0.000000	0.000000
165	0.000000	0.000000
166	0.000000	0.000000
170	0.000000	0.000000
180	0.000000	0.000000
185	0.000000	0.000000
190	0.000000	0.000000
196	0.000000	0.000000
199	0.000000	0.000000
202	0.000000	0.000000
206	0.000000	0.000000
210	0.000000	0.000000
212	0.000000	0.000000
214	0.000000	0.000000
218	0.000000	0.000000
219	0.000000	0.000000
222	0.000000	0.000000
223	0.000000	0.000000
244	0.000000	0.000000
245	0.000000	0.000000
249	0.000000	0.000000
252	0.000000	0.000000
259	0.000000	0.000000
270	0.000000	0.000000
272	0.000000	0.000000
273	0.000000	0.000000
275	0.000000	0.000000
277	0.000000	0.000000
279	0.000000	0.000000
281	0.000000	0.000000
282	0.000000	0.000000
283	0.000000	0.000000
286	0.000000	0.000000
288	0.000000	0.000000
297	0.000000	0.000000
307	0.000000	0.000000
319	0.000000	0.000000
342	0.000000	0.000000
347	0.000000	0.000000
349	0.000000	0.000000
355	0.000000	0.000000
368	0.000000	0.000000
369	0.000000	0.000000
373	0.000000	0.000000
384	0.000000	0.000000
396	0.000000	0.000000
399	0.000000	0.000000
420	0.000000	0.000000
430	0.000000	0.000000
433	0.000000	0.000000
460	0.000000	0.000000
472	0.000000	0.000000
486	0.000000	0.000000
487	0.000000	0.000000
495	0.000000	0.000000
