sample_id	K
1048	0.99999999900000002828
332012	0.99214310170198505290
130773_A	0.99706375452570161766
1655_A	0.03617511820087977031
1774	0.40140754247339044403
7279	0.12402303090252908557
1207	0.99999999900000002828
1274	0.99999999900000002828
7242	0.13529907765782114848
1038	0.91844793869561347499
1527	0.00000000100000000000
6020	0.99558163063757798561
1169	0.99999999900000002828
9472	0.23026550694648817430
1059	0.99999999900000002828
2013	0.86723996131908587248
2045	0.99999999900000002828
1881	0.10633664537866051314
1829_B	0.11695492205874925828
9465	0.69712598961233496198
6193	0.11251192898405068532
7229	0.02716459346563670357
1569_A	0.12426447210964169932
1363	0.99999999900000002828
1858	0.10500580185247301856
1269	0.99999999900000002828
1534	0.19440483420413662285
9459	0.09783571091916237750
1452	0.99999999900000002828
338488	0.99999999900000002828
7220_A	0.14948466698793855256
332018	0.99498045585225569631
1221	0.99999999900000002828
9537_A	0.74242460325724657366
1712	0.42766592384788831849
1709_A	0.11710217966994590499
331016_A	0.99485687139567369197
1275	0.99999999900000002828
1423	0.99999999900000002828
1531	0.26558064321004537511
331005_B	0.99999999900000002828
1938	0.22097291965055992913
1049	0.99999999900000002828
1592	0.46600372570482029300
1095	0.99999999900000002828
7309_A	0.20650127391486713946
1181	0.99999999900000002828
1203	0.99999999900000002828
7467	0.19760493771129097884
1719	0.39923715537892895400
332016	0.98605888312781664329
82030	0.99383334057938765849
338494	0.99999999900000002828
338483	0.99870754118638771502
1368	0.99429187564269039257
1098	0.99999999900000002828
1195_A	0.99999999900000002828
2009	0.98437382122498573445
338485	0.99999999900000002828
1111	0.99999999900000002828
1634	0.99999999900000002828
1280	0.99999999900000002828
2023	0.99999999900000002828
1124	0.99999999900000002828
1778	0.12931332127641398388
1688_A	0.59197468533468422525
7439	0.26532607387810708266
1228	0.97401308008295794938
6032	0.99749411248015784626
1031	0.98674478666946785488
7315	0.22825840849189801829
1587_B	0.16052477689373589875
1361	0.99999999900000002828
6301	0.15728471425374157544
6157_A	0.99999999900000002828
1722	0.28109266120945247680
1647_B	0.09667621914337749811
1562	0.05470546851732924903
1236	0.98406537172717134521
1322_B	0.99999999900000002828
9473_C	0.27014330311692624775
1843	0.18526278430138920505
1134	0.99999999900000002828
1198	0.96876349136217254632
2005	0.95568297035804083972
1508	0.47384392097890098983
9556	0.59861071753132744089
1814	0.00000000100000000000
9481	0.00000000100000000000
1279	0.99999999900000002828
6030	0.99999999900000002828
7233	0.30449220816808303391
1585	0.99999999900000002828
7445_A	0.03085195366740782139
9530_A	0.59913458988563805807
1099	0.99999999900000002828
1668	0.99999999900000002828
6114	0.02383399241859932710
2011	0.99999999900000002828
1822	0.00000000100000000000
1793	0.00000000100000000000
1186_A	0.97895124568067826143
1405_A	0.02613228092901564645
7318	0.11117820494362500028
1073	0.99909610085826694448
2004	0.96019683960077839568
3003	0.99999999900000002828
1074	0.99778820798945355719
7278	0.14804799759535686166
330769	0.97278652088139083709
9549	0.05850844776741911252
1836	0.08675643508664140913
1528	0.00000000100000000000
1297	0.99440506209086387823
1107	0.98624106174992010043
130773_B	0.98370759462579915322
1880	0.03094085829836949048
1450	0.99999999900000002828
1665	0.00000000100000000000
7284	0.20326456879554041790
130711	0.99694695437542923955
1050	0.99999999900000002828
5107	0.99999999900000002828
1522	0.47793841053642244221
7327	0.08473405728527060032
1040	0.99999999900000002828
1204	0.99999999900000002828
338477	0.99945053287741469905
130713_B	0.99147479476910527207
1446	0.99999999900000002828
9479_A	0.00868989418205758264
338502	0.99999999900000002828
6107	0.99691801602747953659
331251	0.99519462344427966904
1171	0.99999999900000002828
333037	0.99302618116265028991
7314_C	0.08155176731685832847
1530	0.00501550546215761683
1942	0.19052750012409924718
7299	0.22563005124816426505
1676_A	0.32453450138372752498
9477	0.30365972200238378065
1512	0.47638331687295459860
1785	0.50466700377749595940
1581	0.04049008549249592109
1182	0.99999999900000002828
2099	0.36139289045214390006
1862	0.53501226073627017321
1250	0.99999999900000002828
338347	0.98659763403310962726
9499	0.00000000100000000000
1812	0.19414466522866891118
7463	0.22588682091377579320
1051	0.99999999900000002828
1875	0.29036658653360303273
9455	0.32468695591617352525
1447	0.99161025826435400532
1087	0.99722131541511915831
9555	0.54550040342859085207
330971	0.99607767250615841803
7298	0.05766966612813853588
1802	0.09248054317716632167
1529	0.53548260755946253120
7280	0.28997204896846917599
338391	0.98955451743172806456
2014	0.97995191629227107466
332020	0.57724856419265235807
1809	0.09660294631728266745
1640	0.99999999900000002828
1567	0.77433233960497660497
6078	0.99999999900000002828
1934	0.04761867864586392940
7310	0.25458619877102883766
333027	0.99759386150383599912
1115	0.99999999900000002828
7455_B	0.08182546361909261157
1641	0.99634104621268992918
1430	0.21869390095506952010
1521	0.79426361507292209119
2048	0.99999999900000002828
1629	0.77238209461958473590
1420	0.52166154113954987803
1393	0.09572112617420458491
1298	0.99557680987761076885
82041	0.99999999900000002828
7332	0.30098108820982671929
1672	0.33623731429292513795
1336	0.99999999900000002828
9501	0.16991855716138887233
1987	0.48787375845579367128
1817	0.29558044104554709319
7550_A	0.00000000100000000000
331020	0.73908122004313725473
7283	0.18272472719985269340
9476	0.22984741659917579115
1908	0.28507892154795888562
1676_B	0.32629292988618696647
1674	0.05706526823748594990
1861	0.07955805693194017980
1816	0.10999543712710006804
1553	0.49514871234318463822
1323	0.03355209419721844749
6162	0.31853810800417270421
3101	0.00000000100000000000
1033	0.99999999900000002828
6150_A	0.99999999900000002828
1108	0.99999999900000002828
1559	0.03729685633334525047
332046	0.29295085163540468542
1610	0.31560105774966029646
7221	0.09214160262283435654
334009	0.99591416952092437498
6300_A	0.15791971474844818113
